question,document,answer_score,answer_reasoning,trajectory_score,trajectory_reasoning
Where exactly do I find the YouTube Live stream for office hours or workshop sessions?,489dd1c9d9,good,"The agent’s answer matches the ground truth. It says students watch on the DataTalksClub YouTube channel, that the video URL is posted in the announcements channel on Telegram and Slack before the session, that Zoom is only for instructors/presenters/TAs, and that the Slido link is pinned in chat when live. It omits the warning not to post questions in chat, but the core information about where to find the stream is present.",good,"The single search query was relevant and contained key terms from the question (YouTube Live, office hours, workshop sessions). One search is a reasonable number, and no unnecessary duplicate calls were made. The tool use supported the final answer."
"If the Zoom link is private, what should I use to ask questions during the live session?",489dd1c9d9,good,"The agent’s answer matches the key point of the ground truth: students should use Slido, not Zoom chat, to ask questions during the live session, and the Slido link is pinned in chat when live. It also mentions Telegram/Slack for the live session link, which is consistent with the original answer. It omits the YouTube Live detail and the explicit warning not to post questions in chat, but the core guidance is correct.",good,"The search query was somewhat relevant because it included the ideas of a private Zoom link and asking questions during a live session, but it introduced unrelated terms like Piazza/Ed that do not match the course context. Only one search was used, which is reasonable, but the query could have been better targeted with keywords like Slido, Zoom, live session, or Telegram/Slack."
Will the stream link for office hours be posted somewhere before the session starts?,489dd1c9d9,good,"The agent answer matches the ground truth on the key points: the video/stream URL is posted in the announcements channel on Telegram and Slack before it starts, the YouTube channel can also be used to watch live, and the Zoom link is only for instructors/presenters/TAs. It omits the Slido and chat guidance, but those are additional details not necessary to answer the question asked.",good,"The single search query is relevant and includes the main idea of the question. One search call is reasonable, and there were no unnecessary duplicate calls. The tool use supported the final answer."
"Should I put my questions in the chat during live sessions, or is there a better way to ask them?",489dd1c9d9,good,"The agent captures the main point that students should not rely on live chat because questions can be missed, and it mentions Slido as the channel for live-session questions. However, it adds Slack/asking questions guidelines without being asked and omits key ground-truth details about YouTube Live, the pinned Slido link, and where the video URL is posted. Still, the core answer is mostly correct.",good,"The search query was relevant to the question and included key terms like live sessions, questions, chat, and FAQ. Only one search was needed, which is reasonable. The tool call supported the answer, even though the result was not fully reflected in the final response."
"Where do I begin if I just joined the LLM Zoomcamp, and what should I look at first?",04919992b3,good,"The agent answer matches the ground truth well. It includes the same three starting resources (LLM Zoomcamp docs, general Zoomcamp logistics docs, and the GitHub repository), states that the course can be started anytime, and outlines the same typical workflow: watch videos, work through notebooks/code, read homework instructions on GitHub, and submit via the course platform before the deadline. It also mentions the course management platform for deadlines and progress. This is all consistent with the original answer.",good,"The single search query is relevant and includes the key concepts from the question: just joined, LLM Zoomcamp, where to begin, what to look at first. One search is sufficient here since the answer is straightforward and the final response did not rely on unnecessary follow-up searches."
"Can I start the course anytime, or is there a fixed start date I need to follow?",04919992b3,good,"The agent’s answer matches the core of the ground truth: you can start whenever you want and there is no fixed start date. It also correctly mentions that course materials and deadlines are available online. However, it adds an extra note about certificates and live cohorts, which is not present in the original answer, but this does not contradict the main point. Overall, the answer is correct.",good,"The search query was relevant to the user’s question because it targeted whether the course has a fixed start date or can be started anytime. Only one search call was made, which is reasonable for this simple factual question. The tool call supported the final answer adequately, though it did not specifically surface the source documents or logistics details from the ground truth."
What’s the usual way to go through each week of the course and keep up with the homework?,04919992b3,good,"The agent’s answer matches the ground truth on the key points: it gives the same typical workflow (watch videos, work through notebooks/code, read homework instructions, submit before deadline) and summarizes the lesson-then-homework pattern. It omits the extra documentation links and the note that you can start whenever you want, but those are not essential to the question asked.",good,"The search query was directly relevant to the user’s question and included the core phrasing about the weekly workflow and homework. Only one search call was made, which is reasonable given the straightforward question. There were no unnecessary or duplicate tool calls."
"Do I need to use the videos, notebooks, and GitHub repo in a specific order, or can I mix them?",04919992b3,bad,"The agent captured the key idea that the materials can be mixed and that there is a typical workflow of videos, notebooks/code, GitHub homework instructions, and course submission. However, it introduced an unsupported detail: that the GitHub repo should be the main entry point and that it is 'kept more up to date than the video playlist.' The ground truth instead says to start with the docs, logistics docs, and GitHub repo, and emphasizes that you can start whenever you want; it does not recommend repo-first as the safest approach. So the answer is partially correct but not fully faithful.",good,"The single search query was broadly relevant, but it was not very precise and did not include important course-specific keywords like LLM Zoomcamp, docs, logistics, or homework. One search call is reasonable, but the query did not seem optimized for finding the exact FAQ answer. Still, the tool use was not excessive."
"How are the homework tasks related to the lesson materials, and where do I submit them before the deadline?",04919992b3,good,"The agent’s answer matches the ground truth on the key points: homework follows the lesson workflow, is similar to lesson materials but uses a different dataset or slightly different task, and submissions are made through the course platform before the deadline. It omits some extra context from the original answer (specific docs/repository links and the step-by-step workflow), but the core information is present and correct.",good,"The single search query was relevant and captured the main concepts of the question (homework, lesson materials, submit before the deadline). One search is reasonable here, and there were no unnecessary duplicate calls. The tool call supports the final answer adequately."
I can’t find myself on the leaderboard — is there a way to jump straight to my entry?,c2903069a0,good,"The agent’s answer matches the ground truth on the key point: there is a “Jump to your record on the leaderboard” link to go straight to the user’s entry. It also correctly mentions using “Edit Course Profile” to check the display name. However, it omits some extra details from the original about the auto-assigned random name and the distinction between display name and official name. Those omissions do not affect correctness for the asked question, which was specifically about jumping to the entry.",good,"The single search query is relevant and uses keywords from the question (“leaderboard,” “jump straight,” “entry”). Only one tool call was needed, and there were no redundant or unnecessary searches. The tool use reasonably supported the final answer."
How do I check what name I’m shown with on the leaderboard?,c2903069a0,good,"The agent’s answer matches the ground truth on the key points: it says the user can check their displayed/leaderboard name via Edit Course Profile, identifies the first field as the public nickname/display name, mentions the random default name like “Lucid Elbakyan,” and includes the “Jump to your record on the leaderboard” link. It omits the second field and the certificate-related detail, but those were not required to answer the question asked about the leaderboard name. Overall, the answer is correct.",good,"The tool call was reasonable and relevant to the question, using keywords about leaderboard name/display name. Only one search call was made, which is appropriate. There were no unnecessary duplicate calls, and the search supported the final answer."
"Why does my account have a random name like ""Lucid Elbakyan"" instead of my real one?",c2903069a0,good,"The agent answer matches the ground truth. It explains that the random name is a default public/leaderboard display name assigned when the account is created, and it correctly notes the distinction between the leaderboard nickname and the official certificate name. It also mentions changing these in Edit Course Profile, which aligns with the original answer. The only minor difference is that it doesn’t explicitly mention the “Jump to your record on the leaderboard” link, but the core information is present.",good,"The search query included the key terms from the question such as the random name ""Lucid Elbakyan,"" account, and real name/display name. A single search was reasonable for this straightforward FAQ-style question, and there were no unnecessary duplicate calls."
Can I change the nickname that appears publicly on the course leaderboard?,c2903069a0,good,"The agent’s answer matches the key points of the ground truth: the public leaderboard name is the first field in Edit Course Profile, it is a nickname/display name, and it can be changed to a preferred username such as Slack or GitHub. It also correctly distinguishes the second field as the certificate name. Minor omissions include the random default name and the exact navigation hint, but these are not required for correctness.",good,"The tool call was relevant and included important keywords from the question (change nickname, public, leaderboard). Only one search was needed, and there were no redundant calls. The tool usage was reasonable and supported the final answer."
What do I need to update if I want my certificate to show my real name instead of the default name?,c2903069a0,good,"The agent’s answer matches the ground truth. It correctly says to update the Course Profile and specifically change the second field to the official real name as it should appear on the certificate, while the first field is only the nickname/display name. That captures the key instruction from the original answer, even though it omits some extra detail about the automatically assigned default name and the example names.",good,"The search query was relevant and included important keywords from the question such as certificate, real name, default name, and profile. Only one search was needed, which is reasonable for this straightforward FAQ-style question. The tool call supported the final answer adequately."
"Can I take this course at my own pace and still get the certificate, or is that not allowed?",69d122f12e,good,"The agent answer matches the ground truth. It correctly states that self-paced participation is allowed but does not earn a certificate, and it captures the key reason: certificates require finishing with a live cohort because peer-review is only available while the course is running. This aligns with the original answer’s main points, even though it omits the detail about reviewing 3 capstones and the closed form/list compilation process.",good,"The single search query was relevant and contained the key concepts of self-paced mode and certificate eligibility. One search was sufficient for this straightforward FAQ question, and there were no unnecessary or duplicate tool calls. The tool use reasonably supported the final answer."
"If I finish everything self-paced, do I still get a certificate at the end?",69d122f12e,good,"The agent’s answer matches the ground truth. It correctly says that finishing self-paced does not earn a certificate, and that certificates are only available for the live cohort because peer-review of capstones is required while the course is running. This contains the key points from the original answer, with no substantive errors or omissions.",good,"The single search query was relevant to the question and reasonably targeted the certificate/self-paced topic. One search call is sufficient here, and there were no unnecessary duplicate calls. The tool use supported the final answer appropriately."
Why don’t you give certificates for people who do the course without joining the live cohort?,69d122f12e,good,"The agent’s answer matches the ground truth closely. It states that certificates are only available for finishing with a live cohort, not in self-paced mode, and correctly explains the reason: the requirement to peer-review 3 capstone projects while the course is actively running because the review process closes afterward. This preserves the key information from the original answer.",good,"The single search query was relevant and contained the main keywords from the question: certificates, live cohort, self-paced. One search was sufficient, and there were no unnecessary duplicate calls. The tool use was reasonable and supported the final answer."
Do I have to be in the live run of the course to qualify for a certificate?,69d122f12e,good,"The agent answer matches the ground truth. It correctly says a certificate requires finishing with the live cohort, that self-paced participation does not qualify, and that the reason is the required peer-review of 3 capstone projects only during the active course run. It is slightly more concise than the original but preserves the key facts.",good,"The single search query was relevant and used important keywords from the question such as certificate, live run, and course. One tool call was sufficient, and there were no unnecessary or duplicate searches."
"Is the certificate only available when the course is running live, or can I earn it later from the self-paced version?",69d122f12e,good,"The agent’s answer matches the ground truth. It correctly states that the certificate is only available through the live cohort, not the self-paced version, and it includes the key reason: peer-reviewing capstone projects is only possible while the course is actively running. This preserves the essential meaning of the original answer.",good,"The single search query is relevant to the user’s question and includes the main concepts (certificate, live course, self-paced version, later). One search was sufficient here, and there were no redundant or unnecessary tool calls. The trajectory is reasonable and supports the final answer."
Can I still get the certificate if I missed the first homework?,9f689c185f,good,"The agent answer matches the ground truth: it states that missing the first homework does not prevent earning the certificate, and that passing the Capstone project is required. It also correctly notes that homework is optional and mainly for practice/leaderboard points. This preserves the key information from the original answer.",good,"The search query was relevant to the question and included important keywords like certificate and homework. Only one search was needed, and there were no unnecessary or duplicate calls. The tool use reasonably supported the final answer."
Do I have to do all the homework to receive the course certificate?,9f689c185f,good,"The agent answer matches the ground truth: it correctly states that all homework is not required for the certificate, that passing the Capstone project is required, and that homework is optional but recommended and affects leaderboard rank. This contains the key information from the original answer.",good,"The single search query was relevant and included key terms from the question such as certificate and homework. Only one search was needed, and it supported the final answer. No unnecessary duplicate calls were made."
What do I actually need to pass in order to get the certificate?,9f689c185f,good,"The agent’s answer matches the key requirement from the ground truth: you need to pass the Capstone project to get the certificate, and homework is not mandatory. However, it adds an extra claim about certificates only being awarded with the live cohort and not self-paced mode, which is not present in the original answer. This extra detail may be incorrect or unsupported relative to the provided ground truth, but the core answer is correct.",good,"The search query was relevant and used important keywords from the question about certificate requirements. Only one search call was made, which is reasonable for a simple FAQ lookup. There were no unnecessary duplicate calls."
"Is homework required for certification, or is it just for practice?",9f689c185f,bad,"The agent answer does not match the ground truth closely enough. The correct answer says that homework is not mandatory, is mainly for reinforcement/practice, and that passing the Capstone project is required for certification. The agent states homework is generally for practice, but then adds uncertainty and suggests some homework may be required for the course process, which conflicts with the original answer and omits the key point that the Capstone project is required for the certificate.",bad,"The tool call was only loosely relevant and too generic. It searched for 'homework required certification practice' but did not include the important specific keyword 'Capstone' that appears in the ground truth and is central to the correct answer. Only one search was made, which is reasonable, but it did not effectively target the key policy being asked about."
"If I skip some homework, will I still be able to earn the certificate?",9f689c185f,good,"The agent’s answer matches the ground truth. It correctly states that homework is not mandatory for earning the certificate, and that passing the Capstone project is required. It also includes the extra relevant detail that homework is recommended and counts toward leaderboard points, which aligns with the original answer.",good,"The tool call was reasonable and directly relevant to the question. The search query included the key concepts of skipping homework and earning the certificate. Only one search was needed, and there were no unnecessary or duplicate calls."
Why does the homework keep changing while I'm trying to work on it?,96286b4be4,good,"The agent’s answer matches the ground truth well. It correctly explains that `[DRAFT]` means the homework is not ready, that readiness requires both the form being open and the title not containing `[DRAFT]`, and that changes can still happen until then. It also includes the warning that working early is at your own risk. Minor wording differences do not affect correctness.",good,"The single search query is relevant to the question and contains the key idea of homework changing while being worked on. One search call is reasonable here, and there were no unnecessary duplicate or overly broad tool calls. The tool use supports the final answer."
What does it mean when a homework title has [DRAFT] in it?,96286b4be4,good,"The agent answer matches the ground truth closely. It states that [DRAFT] means the homework is not ready yet, and it correctly includes the two conditions for readiness: the homework form must be open on the course platform and the title must not contain [DRAFT]. It also preserves the warning that the content can still change and that early work is at your own risk. The wording is slightly different but the key information is the same.",good,"The single search query was relevant and included the key keyword [DRAFT] plus homework title meaning. One search was sufficient for this straightforward FAQ-style question, and there were no unnecessary duplicate calls."
How can I tell if a homework assignment is actually ready to do?,96286b4be4,good,"The agent answer matches the ground truth closely. It correctly states the two conditions for readiness: the homework form must be open on the course management platform, and the title must not contain [DRAFT]. It also includes the warning that if [DRAFT] is present, the assignment is not ready and the content may still change, and that early work is at the student's own risk. This preserves the key information from the original answer.",good,"The single search query exactly matches the user question and is relevant. One tool call is reasonable for this straightforward FAQ lookup, and there were no unnecessary or duplicate searches. The tool use supports the final answer well."
Is it safe to start the homework before the final version is out?,96286b4be4,good,"The agent’s answer matches the ground truth. It correctly states that starting early is possible but only at your own risk, and it includes the two readiness conditions: the homework form being open and the title not containing [DRAFT]. It also notes that the content may still change, which aligns with the original answer.",good,"The single search query used relevant keywords from the question, including homework, final version, and draft. One search call was sufficient and there were no unnecessary duplicates. The tool use was reasonable and supported the final answer."
Why do the homework instructions or files sometimes get updated after they already appear?,96286b4be4,bad,"The agent answer does not match the ground truth. The original answer explains that updates can happen because the homework may still be in draft status, and readiness requires both the course platform form being open and the title not containing [DRAFT]. The agent instead talks about GitHub being the source of truth and the platform being for submission/deadlines, which is not supported by the original answer and misses the key [DRAFT] and readiness conditions. So the answer quality is bad.",good,"The tool call was only loosely related to the question. The query included the general topic of homework instructions/files being updated, which is relevant, and only one search was used, which is reasonable. However, the search did not clearly target the key concept from the ground truth such as [DRAFT] or course management platform readiness. Still, the trajectory is acceptable as a single relevant search."
When is the next time this course will run?,bd31146b0e,good,The agent answer matches the ground truth exactly in meaning and key detail: the next run is Summer 2027.,good,"The search query was relevant to the question and aimed at finding the next course offering. Only one search call was made, which is reasonable, and there were no unnecessary duplicate calls."
Do you know when the course is offered again?,bd31146b0e,good,The agent answer matches the ground truth exactly in meaning and key information: it states the next offering is Summer 2027. No missing or contradictory details.,good,"The tool call was relevant to the question and included the key intent about when the course is offered again. One search call is reasonable, and the result supported the final answer. There were no unnecessary or duplicate calls."
Is there a planned start for the next session of the course?,bd31146b0e,good,The agent answer matches the ground truth exactly in meaning: it states that the next offering is planned for Summer 2027. This is the key information requested.,good,"The single search query is relevant to the question and uses the important keywords about the planned start of the next session. One search call is reasonable and sufficient here, with no unnecessary follow-up."
When can I expect the next offering of this course?,bd31146b0e,good,The agent's answer matches the ground truth exactly in meaning and key detail: the next offering is Summer 2027.,good,The tool call was relevant to the question and used appropriate keywords about the next offering. A single search was reasonable and there were no unnecessary or duplicate calls.
What term will the course be available next?,bd31146b0e,good,The agent’s answer matches the ground truth exactly in meaning: it states that the course will be offered next in Summer 2027. No missing or conflicting information.,good,"The single search query was relevant to the question and concise. One tool call is reasonable here, and there were no unnecessary duplicate searches. The tool use supports the final answer."
Where can I find the course lectures/videos for LLM Zoomcamp?,31456f4b5f,good,"The agent answer matches the ground truth closely. It correctly says to use the LLM Zoomcamp GitHub repository as the main entry point, notes that lesson folders contain pages with videos linked at the top, and adds that the repo is kept more up to date than the YouTube playlist. No key information is missing.",good,"The single search query was relevant and contained the main topic terms (LLM Zoomcamp, lectures/videos). One search is reasonable for this straightforward FAQ-style question, and there were no unnecessary duplicate calls. The tool use supports the final answer well."
Is there a main place I should check first for the lesson videos?,31456f4b5f,good,"The agent’s answer matches the ground truth well. It identifies the LLM Zoomcamp GitHub repository as the main entry point, mentions that lesson folders contain the relevant video links at the top, and notes that the GitHub repo is preferable to the YouTube playlist because it is easier to keep updated. This preserves the key information from the original answer.",good,"The search query was relevant to the question and targeted the main concept, though it was fairly generic. Only one search call was needed, which is reasonable given the straightforward question. The tool call supported the final answer."
I can’t find the videos—are they in the GitHub repo or somewhere else?,31456f4b5f,good,"The agent answer matches the ground truth well. It states that the videos are linked from the LLM Zoomcamp GitHub repository, explains to open the lesson folders, notes that each lesson page has the relevant video links at the top, and adds that the GitHub repo should be used first because it is easier to keep updated than the YouTube playlist. This covers the key points from the original answer.",good,"The tool call was reasonable but somewhat broad. The query included the general topic of video location, but it did not specifically mention LLM Zoomcamp or GitHub repo. Still, only one search was used, which is appropriate, and there were no unnecessary duplicate calls. The tool use was adequate and consistent with the final answer."
"Do the lesson pages have links to the videos, or do I need to use YouTube?",31456f4b5f,good,"The agent answer matches the ground truth well. It correctly says that lesson pages in the LLM Zoomcamp GitHub repo contain the relevant video links at the top of each lesson page, and that YouTube is not the main source. It also includes the key advice to use the GitHub repo first because it is more up to date than the YouTube playlist. This preserves the core information from the original answer.",good,"The single search query was relevant to the user's question and used the key idea of lesson pages and video links. Only one tool call was needed, so the trajectory was reasonable and not excessive."
What’s the best way to stay up to date with the course videos and lectures?,31456f4b5f,good,"The agent answer matches the ground truth on the main point: use the LLM Zoomcamp GitHub repository as the main source of truth, with lesson pages linking the relevant videos at the top, and prefer the repo over the YouTube playlist because it is easier to keep updated. It adds a Telegram channel mention, which is extra but not contradictory to the original answer. The core answer is correct.",good,"The single search query was broadly relevant to staying up to date with course videos and lectures, though it was somewhat generic and did not include key keywords like 'LLM Zoomcamp' or 'GitHub repository'. Still, only one search was used, which is reasonable for this simple FAQ-style question, and there were no unnecessary duplicate calls."
